PERMNO,date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,BID,ASK,SHROUT,CFACPR
10104,20100129,ORCL,ORACLE CORP,68389X10,23.06000,25.34000,23.06000,23.06000,23.07000,5011220,1
10104,20100226,ORCL,ORACLE CORP,68389X10,23.11000,24.87000,24.65000,24.64000,24.65000,5015000,1
10104,20100331,ORCL,ORACLE CORP,68389X10,24.50000,26.04000,25.71000,25.68000,25.69000,5019091,1
10104,20100430,ORCL,ORACLE CORP,68389X10,25.46000,26.48250,25.86750,25.86000,25.87000,5029523,1
10104,20100528,ORCL,ORACLE CORP,68389X10,21.90950,26.01000,22.57000,22.56000,22.58000,5026000,1
10104,20100630,ORCL,ORACLE CORP,68389X10,21.46000,23.20000,21.46000,21.45000,21.46000,5026000,1
10104,20100730,ORCL,ORACLE CORP,68389X10,21.55000,24.64000,23.64000,23.63000,23.64000,5026000,1
10104,20100831,ORCL,ORACLE CORP,68389X10,21.84500,24.49000,21.84500,21.87000,21.88000,5025000,1
10104,20100930,ORCL,ORACLE CORP,68389X10,22.48000,27.49100,26.85000,26.86000,26.87000,5027114,1
10104,20101029,ORCL,ORACLE CORP,68389X10,26.90000,29.38000,29.38000,29.40000,29.41000,5027114,1
10104,20101130,ORCL,ORACLE CORP,68389X10,27.04500,29.53250,27.04500,27.03000,27.04000,5051000,1
10104,20101231,ORCL,ORACLE CORP,68389X10,27.65000,31.76000,31.30000,31.29000,31.31000,5052420,1
10104,20110131,ORCL,ORACLE CORP,68389X10,30.94500,32.92000,32.03000,32.02000,32.03000,5052420,1
10104,20110228,ORCL,ORACLE CORP,68389X10,32.18000,33.68000,32.90000,32.89000,32.90000,5061000,1
10104,20110331,ORCL,ORACLE CORP,68389X10,30.20000,33.43250,33.43250,33.37000,33.39000,5060516,1
10104,20110429,ORCL,ORACLE CORP,68389X10,33.40000,35.96000,35.96000,36.03000,36.02000,5060516,1
10104,20110531,ORCL,ORACLE CORP,68389X10,32.99000,36.37000,34.22000,34.22000,34.23000,5068000,1
10104,20110630,ORCL,ORACLE CORP,68389X10,30.80000,32.91000,32.91000,32.89000,32.90000,5065515,1
10104,20110729,ORCL,ORACLE CORP,68389X10,30.58000,34.09000,30.58000,30.58000,30.59000,5065515,1
10104,20110831,ORCL,ORACLE CORP,68389X10,24.78000,30.19000,28.07000,28.07000,28.08000,5051000,1
10104,20110930,ORCL,ORACLE CORP,68389X10,26.00000,30.13000,28.74000,28.74000,28.75000,5044602,1
10104,20111031,ORCL,ORACLE CORP,68389X10,27.94000,33.69000,32.77000,32.76000,32.77000,5044602,1
10104,20111130,ORCL,ORACLE CORP,68389X10,28.74000,33.61000,31.35000,31.34000,31.35000,5032000,1
10104,20111230,ORCL,ORACLE CORP,68389X10,25.51000,31.90000,25.65000,25.63000,25.64000,5025837,1
10104,20120131,ORCL,ORACLE CORP,68389X10,25.86500,28.71000,28.21000,28.19000,28.20000,5025837,1
10104,20120229,ORCL,ORACLE CORP,68389X10,27.98000,29.39000,29.25500,29.26000,29.27000,4979000,1
10104,20120330,ORCL,ORACLE CORP,68389X10,28.55000,30.24000,29.16000,29.15000,29.16000,4975106,1
10104,20120430,ORCL,ORACLE CORP,68389X10,28.14000,29.56000,29.40000,29.39000,29.40000,4975106,1
10104,20120531,ORCL,ORACLE CORP,68389X10,25.61000,29.71000,26.47000,26.48000,26.48000,4905000,1
10104,20120629,ORCL,ORACLE CORP,68389X10,26.00000,29.70000,29.70000,29.70000,29.71000,4882506,1
10104,20120731,ORCL,ORACLE CORP,68389X10,28.82000,30.86500,30.20000,30.19000,30.20000,4882506,1
10104,20120831,ORCL,ORACLE CORP,68389X10,29.92000,32.20000,31.65000,31.63000,31.64000,4831000,1
10104,20120928,ORCL,ORACLE CORP,68389X10,30.72500,33.10000,31.46000,31.46000,31.47000,4819056,1
10104,20121031,ORCL,ORACLE CORP,68389X10,30.47500,31.89500,31.08000,31.05000,31.06000,4819056,1
10104,20121130,ORCL,ORACLE CORP,68389X10,29.58000,32.17500,32.17500,32.09000,32.11000,4748000,1
10104,20121231,ORCL,ORACLE CORP,68389X10,31.61000,34.09000,33.32000,33.32000,33.33000,4734297,1
10104,20130131,ORCL,ORACLE CORP,68389X10,34.31000,35.78000,35.51000,35.50000,35.51000,4734297,1
